Domain,NC,AA,GC
Viral,0.95,1.03526,0.32051572
Viral,0.991,1.02194,0.41140096
Viral,1.0805,1.45195,0.5
Viral,0.867,0.913681,0.39514599
Viral,1.005,1.0357,0.50725163
Viral,1.003,1.05921,0.43410852
Viral,0.9775,1.02199,0.39853958
Viral,1.0585,1.55548,0.54874651
Viral,0.9975,1.06826,0.41949616
Viral,0.8895,0.923917,0.25306318
Viral,1.0005,1.07542,0.42515404
Viral,0.8865,0.923637,0.25008169
Viral,0.9765,0.992192,0.39449541
Viral,0.973,0.969578,0.49857737
Viral,0.988,1.29543,0.39136302
Viral,0.9885,1.03681,0.44477881
Viral,0.968,0.984406,0.37659688
Viral,0.9215,0.92059,0.36380195
Viral,0.957,0.972792,0.35460269
Viral,0.9795,1.00925,0.39273263
Viral,0.9725,0.996288,0.42166881
Viral,1.0015,1.06701,0.4308588
Viral,1.0025,1.06795,0.42883013
Viral,0.9935,1.06204,0.40929041
Viral,0.9905,1.01755,0.44155339
Viral,0.988,1.01693,0.42541222
Viral,0.9985,1.01442,0.45338983
Viral,1.002,1.0554,0.43483023
Viral,0.9515,0.91693,0.63115196
Viral,0.9675,0.950193,0.57313162
Viral,0.9905,1.00098,0.43370458
Viral,0.9815,0.9725,0.50834341
Viral,0.958,0.955824,0.45744509
Viral,0.9975,1.0661,0.41343012
Viral,0.969,0.970115,0.40441902
Viral,0.949,0.925874,0.6063876
Viral,0.899,0.848743,0.60945867
Viral,0.997,1.01289,0.45687645
Viral,0.985,0.964316,0.52227325
Viral,0.981,1.0009,0.41582432
Viral,0.953,0.926716,0.61191988
Viral,0.926,0.898088,0.65309476
Viral,0.9585,0.937519,0.60900932
Viral,0.985,0.997084,0.46614143
Viral,1.0035,1.058,0.44113424
Viral,0.9475,0.966797,0.33533135
Viral,0.997,1.02285,0.42164662
Viral,0.976,1.01215,0.39353197
Viral,0.942,0.92526,0.54021367
Viral,1.0625,1.42447,0.48088531
Viral,1.002,0.997701,0.47716392
Viral,0.981,1.20772,0.37471264
Viral,0.998,1.06866,0.40895848
Viral,0.975,0.977156,0.426904
Viral,0.954,0.993423,0.37844862
Viral,0.968,0.971836,0.38261172
Viral,0.983,0.972519,0.47523292
Viral,0.9785,0.965066,0.50632149
Viral,0.9955,1.02768,0.42075298
Viral,1.0005,1.05826,0.4351145
Viral,0.953,0.967408,0.34496835
Viral,1.005,1.06215,0.43863471
Viral,1.006,1.05764,0.46814092
Viral,1.0,1.06294,0.41981132
Viral,0.9955,1.0065,0.45936055
Viral,1.0065,1.05073,0.44251626
Viral,0.939,0.909274,0.65377738
Viral,0.945,0.909212,0.64184
Viral,0.9695,0.968595,0.52105571
Viral,0.987,1.00611,0.4805936
Viral,0.9885,1.01777,0.41961503
Viral,0.9525,0.9302,0.55793301
Viral,0.94,0.955856,0.34491305
Viral,0.935,0.954228,0.32441595
Viral,0.9875,0.978614,0.569542
Viral,0.9695,0.986166,0.39718781
Viral,0.9815,0.977259,0.43060649
Viral,0.9895,0.962146,0.53872196
Viral,0.959,0.967748,0.39006441
Viral,0.9755,1.01284,0.36831848
Viral,0.9575,0.97445,0.35836186
Viral,0.9775,0.96833,0.49900544
Viral,0.894,0.899362,0.30368233
Viral,1.001,1.06201,0.41940137
Viral,0.9245,0.904736,0.6540842
Viral,1.005,1.03496,0.52180339
Viral,0.991,1.02123,0.42792527
Viral,0.9445,0.920301,0.62860563
Viral,0.9995,0.992864,0.49329134
Viral,0.979,1.02175,0.39522801
Viral,0.948,0.916505,0.63529794
Viral,0.9265,0.894663,0.61887585
Viral,0.9085,0.909724,0.33183328
Viral,0.9455,0.949139,0.41886961
Viral,0.99,1.00339,0.44190791
Viral,0.981,1.01113,0.42104216
Viral,0.9815,0.974024,0.51014969
Viral,0.994,1.1047,0.4
Viral,0.995,1.00538,0.47226979
Viral,1.0,1.05933,0.42747813
Viral,0.9985,1.05576,0.43267831
Viral,0.95,0.969298,0.33472215
Viral,1.005,1.06006,0.44049798
Viral,1.0055,1.05038,0.44067796
Viral,0.998,1.06099,0.42774357
Viral,0.9525,0.945719,0.57415883
Viral,0.9225,0.971372,0.29324628
Viral,0.967,0.929495,0.61374644
Viral,1.007,1.01336,0.48544468
Viral,0.955,0.978959,0.34625756
Viral,0.9825,0.96096,0.52038401
Viral,1.0015,1.06234,0.42478197
Viral,0.9055,0.88314,0.68956727
Viral,0.93,0.900127,0.64769829
Viral,0.8115,0.747615,0.74850061
Viral,0.9665,0.9708,0.38496891
Viral,0.974,0.97294,0.43880731
Viral,0.992,0.978667,0.58073344
Viral,0.947,0.920182,0.64340219
Viral,0.958,0.971197,0.35678908
Viral,1.002,1.06,0.42914536
Viral,0.9265,0.90851,0.37918462
Viral,0.9585,0.972339,0.35140582
Viral,0.966,0.976009,0.38746045
Viral,0.9525,0.9713,0.36939958
Viral,1.004,1.06951,0.44167306
Viral,0.9975,1.05845,0.41273839
Viral,0.8915,0.864949,0.70387803
Viral,0.951,0.97542,0.33601568
Viral,0.9365,0.963808,0.35697928
Viral,0.996,1.05205,0.42976406
Viral,1.0035,1.01847,0.4393619
Viral,0.9995,1.06231,0.4265938
Viral,1.004,1.06131,0.44533236
Viral,0.974,1.00413,0.37583643
Viral,0.993,1.0074,0.43422712
Viral,0.9625,0.980249,0.39935889
Viral,0.939,0.906545,0.65935523
Viral,0.995,1.0655,0.40977713
Viral,0.9935,1.01957,0.42520699
Viral,0.9465,0.968877,0.33347417
Viral,0.961,0.966744,0.36833206
Viral,0.9915,1.01808,0.43666927
Viral,1.002,1.05994,0.43173565
Viral,0.992,1.00984,0.46320845
Viral,0.9255,0.974186,0.2962345
Viral,0.9315,0.90434,0.65384009
Viral,0.9325,0.923323,0.62763566
Viral,0.9465,0.956121,0.35367253
Viral,0.949,0.943198,0.50607629
Viral,0.9795,0.971848,0.47227489
Viral,0.97,0.975147,0.39150236
Viral,0.9895,1.02212,0.42044008
Viral,1.006,1.03255,0.51956124
Viral,0.951,0.934837,0.46167151
Viral,0.968,0.968031,0.42778925
Viral,0.9785,0.968799,0.4951969
Viral,0.9635,0.96618,0.39606373
Viral,0.863,0.808118,0.49253821
Viral,0.905,0.865108,0.6335889
Viral,0.978,0.968853,0.48315803
Viral,0.9935,1.00454,0.43722755
Viral,1.0035,1.06316,0.4377276
Viral,0.974,0.963395,0.52826739
Viral,0.956,0.972461,0.34696748
Viral,0.9675,0.97937,0.37534146
Viral,0.9565,0.973506,0.35509138
Viral,0.989,1.04579,0.39425325
Viral,0.987,1.02638,0.40933958
Viral,0.969,0.953612,0.45364639
Viral,0.992,1.01524,0.42229977
Viral,0.95,0.96113,0.4840816
Viral,0.925,0.900017,0.65193917
Viral,0.9085,0.928027,0.33759339
Viral,0.8885,0.95446,0.24826306
Viral,0.949,0.970168,0.33554745
Viral,0.905,0.886838,0.43560451
Viral,0.997,1.06251,0.42572463
Viral,0.9385,0.894299,0.61700962
Viral,0.95,0.965348,0.35641229
Viral,0.998,1.05975,0.42124408
Viral,0.9655,0.965634,0.42599475
Viral,0.963,0.967273,0.42493918
Viral,0.778,0.721764,0.73562849
Viral,1.009,1.27563,0.41935483
Viral,1.0955,1.89253,0.53043478
Viral,1.0075,1.03273,0.55621011
Viral,0.9805,1.13539,0.40014419
Viral,0.9695,1.1496,0.36289726
Viral,0.957,1.15138,0.36512667
Viral,1.0055,1.0571,0.530858
Viral,0.851,0.829941,0.57499227
Viral,0.9835,1.02022,0.41548771
Viral,0.897,0.841605,0.56666045
Viral,0.918,0.873049,0.6449554
Viral,0.9865,0.971595,0.50558301
Viral,0.9855,0.979623,0.45058664
Viral,0.8995,0.865078,0.71137748
Viral,0.8045,0.737898,0.74456116
Viral,0.979,0.964729,0.47311181
Viral,0.98,0.973883,0.43609614
Viral,1.074,1.68103,0.56790123
Viral,1.0295,1.17642,0.58258642
Viral,0.9845,0.95365,0.54046914
Viral,0.987,0.967901,0.47776628
Viral,0.956,0.906133,0.53782482
Viral,0.988,1.00981,0.44086021
Viral,0.981,1.11687,0.39512555
Viral,0.955,0.926925,0.63159811
Viral,0.9605,0.972191,0.37566977
Viral,0.9875,0.990877,0.46117763
Viral,0.8055,0.816556,0.33579075
Viral,0.9425,0.926416,0.55053209
Viral,0.9865,0.972209,0.50485095
Viral,0.9905,1.13952,0.40958605
Viral,0.9325,0.895218,0.67745387
Viral,0.924,0.968962,0.29033495
Viral,0.985,1.01895,0.41395082
Viral,0.9985,1.04678,0.42824074
Viral,0.999,1.00829,0.43410404
Viral,0.9305,0.908401,0.63434949
Viral,0.9485,0.921627,0.62622259
Viral,0.9255,0.88298,0.61006005
Viral,0.9595,0.927473,0.52474966
Viral,0.8505,0.895963,0.38433629
Viral,1.032,1.24128,0.54672245
Viral,0.977,1.02811,0.42977743
Viral,0.9505,1.14954,0.34595397
Viral,0.974,1.15077,0.37463556
Viral,0.959,1.13497,0.35441176
Viral,0.992,0.984227,0.54132935
Viral,0.9785,0.967924,0.48398727
Viral,0.904,0.865526,0.63444363
Viral,0.9845,0.966069,0.49142937
Viral,0.8695,0.924843,0.27233288
Viral,0.964,0.956001,0.54452625
Viral,0.972,0.965638,0.49913032
Viral,0.991,1.06321,0.40677966
Viral,0.956,0.964247,0.37851163
Viral,0.999,1.05943,0.4226691
Viral,0.983,0.973096,0.45552461
Viral,0.97,0.941703,0.57804912
Viral,1.0705,1.48354,0.55492957
Viral,0.8495,0.904842,0.25281803
Viral,0.9795,0.951889,0.55202159
Viral,0.991,0.959974,0.54300977
Viral,0.99,1.01025,0.44105984
Viral,0.9995,1.05854,0.43925574
Viral,0.996,1.02446,0.43204633
Viral,0.993,1.00457,0.45117845
Viral,0.9775,0.989461,0.40736694
Viral,0.995,1.02393,0.41441274
Viral,0.956,0.915167,0.5748241
Viral,0.9935,1.0104,0.4325023
Viral,0.978,1.1579,0.39925925
Viral,0.998,1.04557,0.43737574
Viral,0.995,1.00287,0.45662272
Viral,0.953,1.00109,0.34499632
Viral,0.9715,0.999235,0.38042509
Viral,0.9545,0.969072,0.35322943
Viral,0.9455,0.952926,0.36007473
Viral,0.9315,0.908906,0.63330362
Viral,0.929,0.906777,0.63640326
Viral,0.9395,0.95098,0.34495705
Viral,0.993,0.998066,0.46120481
Viral,0.9265,0.948951,0.45791114
Viral,1.026,1.14296,0.56550951
Viral,0.9485,0.986203,0.33724832
Viral,0.98,1.12803,0.39748334
Viral,0.9705,1.16127,0.37020648
Viral,0.972,1.18981,0.3788774
Viral,0.9755,1.20504,0.37322363
Viral,0.983,0.951835,0.57318364
Viral,0.949,0.927651,0.47227733
Viral,0.903,0.867311,0.4244124
Viral,0.914,0.93286,0.2983128
Viral,0.9605,0.996388,0.36713922
Viral,1.0035,1.06863,0.42164314
Viral,0.9835,0.976391,0.47090403
Viral,1.0075,1.06232,0.46201311
Viral,0.957,0.975519,0.35161815
Viral,0.994,1.0664,0.40570809
Viral,0.973,1.00169,0.36359051
Viral,0.9825,0.976167,0.47468176
Viral,1.038,1.35695,0.59033078
Viral,0.9605,0.99997,0.35360971
Viral,0.9875,0.976791,0.47023185
Viral,0.9875,0.981808,0.43007256
Viral,0.9605,0.981824,0.34919849
Viral,0.969,0.936909,0.57096029
Viral,0.9605,1.14519,0.36026686
Viral,1.004,1.0251,0.48742454
Viral,0.9605,0.955164,0.37323022
Viral,0.8825,0.898339,0.38732832
Viral,1.045,1.34739,0.48222565
Viral,0.936,0.94355,0.35215289
Viral,0.9265,0.963762,0.3059258
Viral,0.9895,1.00035,0.45178248
Viral,0.9825,0.958803,0.53782228
Viral,0.906,0.88554,0.57472399
Viral,0.955,0.930603,0.61303828
Viral,0.984,1.01996,0.38970304
Viral,0.8385,0.816475,0.44062088
Viral,0.979,1.0037,0.39967832
Viral,0.955,0.92967,0.60683495
Viral,0.9795,0.984379,0.49526841
Viral,0.911,0.863755,0.50455023
Viral,0.9085,0.876494,0.42771136
Viral,0.9805,0.958005,0.55148642
Viral,1.028,1.32389,0.4591961
Viral,0.983,0.989667,0.43657013
Viral,0.968,1.17558,0.36047372
Viral,0.9795,1.21985,0.37413925
Viral,0.988,1.13111,0.41002949
Viral,0.98,1.17243,0.39229249
Viral,0.9935,0.989474,0.57090826
Viral,0.9535,0.920787,0.62257873
Viral,0.991,0.975341,0.5412217
Viral,0.849,0.797497,0.61942418
Viral,0.984,0.977724,0.44592248
Viral,0.874,0.901105,0.30385593
Viral,0.9655,0.940502,0.4518315
Viral,0.985,0.964963,0.51221722
Viral,0.976,0.947379,0.55250248
Viral,0.9605,0.935698,0.51485436
Viral,0.983,0.969731,0.474306
Viral,1.062,1.4164,0.50773195
Viral,1.0075,1.06904,0.51359671
Viral,0.9875,0.975538,0.46523076
Viral,0.9855,0.967853,0.50504276
Viral,1.0015,1.30814,0.39880059
Viral,0.9995,1.06588,0.42363636
Viral,0.9585,0.976669,0.49553123
Viral,0.9625,0.938321,0.48637346
Viral,0.9785,0.976801,0.41740484
Viral,0.983,1.01384,0.44224598
Bacteria,0.7545,0.783272,0.19727258
Bacteria,0.828,0.872919,0.20996284
Bacteria,0.81,0.853911,0.19687604
Bacteria,0.784,0.81561,0.19469414
Bacteria,0.996,1.00055,0.44764203
Bacteria,1.0105,1.006,0.50390757
Bacteria,0.9675,0.990251,0.40160531
Bacteria,0.9955,1.02825,0.40980348
Bacteria,0.9835,1.01959,0.4138812
Bacteria,1.08,1.55548,0.53
Bacteria,0.9835,0.998493,0.48044344
Bacteria,0.985,0.978061,0.57436542
Bacteria,0.968,0.969592,0.50168189
Bacteria,0.991,1.00268,0.4370712
Bacteria,0.9525,0.963673,0.35298401
Bacteria,0.985,0.973844,0.49483448
Bacteria,0.967,0.972407,0.38556032
Bacteria,0.9735,1.06802,0.38329322
Bacteria,0.9505,0.974664,0.48100757
Bacteria,1.0255,1.10235,0.50735863
Bacteria,0.9905,1.02234,0.40870845
Bacteria,0.997,0.990682,0.46441281
Bacteria,0.9895,1.02178,0.42954324
Bacteria,0.9335,0.921073,0.55133226
Bacteria,0.9365,0.956874,0.40404008
Bacteria,0.995,1.00247,0.45161657
Bacteria,0.79,0.839728,0.17781162
Bacteria,0.9875,1.0191,0.41336157
Bacteria,0.965,0.967217,0.52054906
Bacteria,0.9495,0.910586,0.63649851
Bacteria,0.9525,0.9844,0.33039067
Bacteria,1.0095,1.03034,0.49495848
Bacteria,0.9945,1.00374,0.4405581
Bacteria,1.006,1.06708,0.49203734
Bacteria,0.9315,0.994702,0.31121281
Bacteria,0.966,0.973051,0.37565968
Bacteria,0.946,0.969775,0.33312374
Bacteria,0.9575,0.969732,0.35430932
Bacteria,0.9585,0.928901,0.61486345
Bacteria,0.8945,0.967761,0.27153341
Bacteria,0.908,0.884089,0.68113718
Bacteria,0.9715,0.965046,0.46306154
Bacteria,0.988,1.03711,0.40393974
Bacteria,0.958,0.964313,0.41676125
Bacteria,1.0025,1.05376,0.4377947
Bacteria,1.0025,1.01098,0.47380865
Bacteria,1.061,1.46928,0.56233421
Bacteria,0.9865,1.00697,0.43680368
Bacteria,0.9855,1.00597,0.48776508
Bacteria,0.972,1.01892,0.40797253
Bacteria,0.955,0.979104,0.36307053
Bacteria,0.951,0.961331,0.34635013
Bacteria,0.9945,0.994035,0.44064885
Bacteria,0.9685,0.963048,0.49367601
Bacteria,0.9805,0.975937,0.43886211
Bacteria,1.008,1.06609,0.48350398
Bacteria,0.9945,1.004,0.44388631
Bacteria,0.984,0.997615,0.45362592
Bacteria,0.954,0.996636,0.31959882
Bacteria,0.986,1.03765,0.43430987
Bacteria,0.968,1.00989,0.3953037
Bacteria,0.9635,0.980655,0.40006181
Bacteria,0.998,1.01367,0.46680696
Bacteria,0.996,0.998242,0.44526644
Bacteria,0.9635,0.96626,0.40678554
Bacteria,0.9465,0.969534,0.34511967
Bacteria,0.992,1.04525,0.41136363
Bacteria,0.9195,0.938134,0.40685551
Bacteria,0.9365,0.95525,0.39015258
Bacteria,0.963,0.983888,0.35876178
Bacteria,0.955,0.969002,0.35378447
Bacteria,1.0015,1.06669,0.42649199
Bacteria,0.8965,0.925666,0.28625954
Bacteria,0.9675,0.95863,0.50869268
Bacteria,0.939,0.948618,0.33352078
Bacteria,0.8915,0.949155,0.26792452
Bacteria,0.924,0.954388,0.36557161
Bacteria,0.9675,0.970551,0.38641952
Bacteria,0.998,1.05819,0.42820606
Bacteria,0.9915,1.00896,0.4361688
Bacteria,0.968,0.93583,0.53759177
Bacteria,0.9525,0.950439,0.64283252
Bacteria,1.0005,1.05891,0.42841648
Bacteria,0.985,1.01367,0.41116458
Bacteria,0.99,1.00225,0.44910071
Bacteria,0.992,1.01785,0.45060425
Bacteria,0.9985,1.02454,0.42759026
Bacteria,1.0035,1.06212,0.4363702
Bacteria,0.972,0.979047,0.39696087
Bacteria,0.9665,0.997189,0.42124684
Bacteria,0.952,0.966666,0.40702346
Bacteria,0.976,1.00837,0.36961575
Bacteria,0.881,0.991669,0.22652014
Bacteria,0.991,1.01181,0.44557888
Bacteria,0.78,0.847879,0.18269947
Bacteria,1.0045,1.05903,0.43549562
Bacteria,0.903,0.908179,0.30887678
Bacteria,0.882,0.974209,0.24929525
Bacteria,0.988,0.987852,0.53793545
Bacteria,0.99,1.01252,0.43307392
Bacteria,1.016,1.05551,0.49685301
Bacteria,0.995,0.999177,0.47516121
Bacteria,0.9615,1.01767,0.38637783
Bacteria,0.993,1.01566,0.44103956
Bacteria,0.946,0.968279,0.34345279
Bacteria,0.957,0.960423,0.38118811
Bacteria,0.9985,1.04787,0.44428364
Bacteria,0.951,0.952355,0.46173281
