Domain,DNA,AA,GC,L_DNA,L_AA
Viral,0.967,1.00451,0.38232028,0.0001803355,9.89061e-05
Viral,0.9215,0.944627,0.35465409,0.000148678,7.21736e-05
Viral,0.95,0.95858,0.36556005,0.0027130162,0.0013490517
Viral,0.9595,0.966841,0.38274016,0.0009352122,0.0004779256
Viral,0.9615,0.964867,0.38727231,0.0008875631,0.0004380148
Viral,0.9435,1.01269,0.37852216,0.0001270057,6.47765e-05
Viral,0.9645,1.01818,0.36497847,0.0001220506,5.41198e-05
Viral,1.0125,1.02851,0.536,6.88208e-05,5.38272e-05
Viral,0.99,1.01535,0.41718995,0.0001275312,6.70194e-05
Viral,0.9845,0.970333,0.51171967,0.001160569,0.0008382225
Viral,0.94,0.932533,0.43817012,0.0001400441,7.5294e-05
Viral,0.9375,0.96187,0.46905601,0.0001277815,8.08523e-05
Viral,0.9745,0.981786,0.36389331,0.0006286468,0.0002676038
Viral,0.879,0.844964,0.47558431,0.0039830979,0.0027226489
Viral,0.9495,0.97317,0.41384916,0.0027246282,0.0015488003
Viral,0.9595,0.960925,0.45267206,0.0030906798,0.0021131364
Viral,0.892,0.923247,0.25912464,0.003773207,0.0015535367
Viral,0.9555,0.9549,0.48030227,0.0002020078,0.0001368805
Viral,1.0005,1.05889,0.43064633,6.89209e-05,4.13734e-05
Viral,0.948,0.948952,0.43812817,0.0033937666,0.0023234582
Viral,0.953,0.974437,0.34725397,0.0009414186,0.0004593284
Viral,0.952,0.92951,0.55848954,0.0019437998,0.0015676204
Viral,1.009,1.03585,0.50711077,6.68688e-05,5.11804e-05
Viral,0.894,0.920694,0.27401778,0.0036651208,0.0015089453
Viral,0.95,1.03526,0.32051572,0.0001106388,4.55804e-05
Viral,0.991,1.02194,0.41140096,0.0001295082,7.19368e-05
Viral,1.0805,1.45195,0.5,8.0583e-06,6.0737e-06
Viral,0.867,0.913681,0.39514599,0.0001979787,9.26235e-05
Viral,1.005,1.0357,0.50725163,6.9021e-05,4.94949e-05
Viral,1.003,1.05921,0.43410852,6.45664e-05,3.73197e-05
Viral,0.9775,1.02199,0.39853958,0.000130234,6.89557e-05
Viral,1.0585,1.55548,0.54874651,8.9842e-06,4.9732e-06
Viral,0.9975,1.06826,0.41949616,6.85455e-05,3.81137e-05
Viral,1.0005,1.07542,0.42515404,6.9046e-05,3.31127e-05
Viral,0.9765,0.992192,0.39449541,0.0001309347,7.25079e-05
Viral,0.973,0.969578,0.49857737,0.0012137988,0.0008356314
Viral,0.988,1.29543,0.39136302,1.85441e-05,8.818e-06
Viral,0.968,0.984406,0.37659688,0.0004662297,0.0002412474
Viral,0.9215,0.92059,0.36380195,0.0001511305,7.85677e-05
Viral,0.957,0.972792,0.35460269,0.0008346087,0.0004123132
Viral,0.9795,1.00925,0.39273263,0.000186642,0.0001048544
Viral,0.9725,0.996288,0.42166881,0.0002522345,0.0001280625
Viral,1.0015,1.06701,0.4308588,6.87708e-05,3.69017e-05
Viral,0.9935,1.06204,0.40929041,6.84204e-05,3.84341e-05
Viral,0.9905,1.01755,0.44155339,0.0001288826,7.50851e-05
Viral,0.9985,1.01442,0.45338983,0.0001299337,7.71468e-05
Viral,0.9515,0.91693,0.63115196,0.00190023,0.0017125248
Viral,0.9905,1.00098,0.43370458,0.0001887442,0.0001100226
Viral,0.9815,0.9725,0.50834341,0.0009928214,0.0006873419
Viral,0.958,0.955824,0.45744509,0.0007759733,0.0004687315
Viral,0.9975,1.0661,0.41343012,6.89459e-05,3.96182e-05
Viral,0.969,0.970115,0.40441902,0.004104673,0.002223173
Viral,0.899,0.848743,0.60945867,0.0040798224,0.0035509529
Viral,0.985,0.964316,0.52227325,0.0011387466,0.0007881286
Viral,0.981,1.0009,0.41582432,0.0002153966,0.0001272406
Viral,0.953,0.926716,0.61191988,0.0013356992,0.0012216161
Viral,0.926,0.898088,0.65309476,0.0015986948,0.0015264838
Viral,0.9585,0.937519,0.60900932,0.0014083239,0.0012885936
Viral,0.985,0.997084,0.46614143,0.0001334123,7.87209e-05
Viral,0.9475,0.966797,0.33533135,0.0010437739,0.0004787475
Viral,0.997,1.02285,0.42164662,0.0001352642,7.86791e-05
Viral,0.976,1.01215,0.39353197,0.0001377417,7.41099e-05
Viral,0.942,0.92526,0.54021367,0.0026610377,0.0019915655
Viral,1.0625,1.42447,0.48088531,1.24378e-05,6.5891e-06
Viral,1.002,0.997701,0.47716392,0.000193424,0.0001235909
Viral,0.981,1.20772,0.37471264,3.26586e-05,1.27464e-05
Viral,0.998,1.06866,0.40895848,6.87207e-05,3.50351e-05
Viral,0.954,0.993423,0.37844862,0.0001251788,6.64482e-05
Viral,0.968,0.971836,0.38261172,0.0010779841,0.0005329926
Viral,0.983,0.972519,0.47523292,0.0010180224,0.0006612919
Viral,0.9785,0.965066,0.50632149,0.0010807619,0.0007549184
Viral,0.9955,1.02768,0.42075298,0.0001362652,7.25637e-05
Viral,0.953,0.967408,0.34496835,0.0010912227,0.0005025406
Viral,1.005,1.06215,0.43863471,6.89209e-05,3.91585e-05
Viral,1.006,1.05764,0.46814092,6.67687e-05,4.05933e-05
Viral,0.9955,1.0065,0.45936055,0.0001299337,7.88045e-05
Viral,0.939,0.909274,0.65377738,0.0014277189,0.0013632469
Viral,0.945,0.909212,0.64184,0.0012741359,0.001188782
Viral,0.9885,1.01777,0.41961503,0.0001365155,7.56005e-05
Viral,0.9525,0.9302,0.55793301,0.0018994042,0.0015294788
Viral,0.935,0.954228,0.32441595,0.0027755305,0.0013299113
Viral,0.9695,0.986166,0.39718781,0.0003737595,0.0002197945
Viral,0.9815,0.977259,0.43060649,0.001057563,0.0005581092
Viral,0.9895,0.962146,0.53872196,0.0001182717,9.04504e-05
Viral,0.9755,1.01284,0.36831848,0.000179785,9.18295e-05
Viral,0.9775,0.96833,0.49900544,0.0009561837,0.0005736138
Viral,0.894,0.899362,0.30368233,0.0090055902,0.0036320141
Viral,1.001,1.06201,0.41940137,6.93964e-05,4.04261e-05
Viral,0.9245,0.904736,0.6540842,0.0010634191,0.0010133142
Viral,1.005,1.03496,0.52180339,6.77197e-05,5.11247e-05
Viral,0.991,1.02123,0.42792527,0.0001272559,6.84263e-05
Viral,0.9995,0.992864,0.49329134,0.0001827881,0.000125959
Viral,0.979,1.02175,0.39522801,0.0001300588,6.51109e-05
Viral,0.948,0.916505,0.63529794,0.0012296651,0.0011378245
Viral,0.9265,0.894663,0.61887585,0.0014639562,0.0013737225
Viral,0.9085,0.909724,0.33183328,0.005249676,0.0023754884
Viral,0.9455,0.949139,0.41886961,0.0057964886,0.003471229
Viral,0.99,1.00339,0.44190791,0.0001962269,0.0001163888
Viral,0.981,1.01113,0.42104216,0.0001258295,6.97219e-05
Viral,0.9815,0.974024,0.51014969,0.0010047587,0.0007066773
Viral,0.994,1.1047,0.4,3.4035e-05,2.26648e-05
Viral,0.995,1.00538,0.47226979,0.0001899704,0.000115748
Viral,1.0,1.05933,0.42747813,6.86707e-05,4.13316e-05
Viral,0.95,0.969298,0.33472215,0.00106915,0.0004755435
Viral,1.005,1.06006,0.44049798,6.83453e-05,4.11087e-05
Viral,0.998,1.06099,0.42774357,6.90961e-05,3.8448e-05
Viral,0.9525,0.945719,0.57415883,0.0009349369,0.0007459054
Viral,0.9225,0.971372,0.29324628,0.0004561443,0.0001937028
Viral,1.007,1.01336,0.48544468,0.0001246532,8.16045e-05
Viral,0.955,0.978959,0.34625756,0.0004176046,0.0001705504
Viral,0.9825,0.96096,0.52038401,0.0011104675,0.0008187338
Viral,1.0015,1.06234,0.42478197,6.88709e-05,3.91027e-05
Viral,0.9055,0.88314,0.68956727,0.0016887374,0.0016841206
Viral,0.93,0.900127,0.64769829,0.0039065692,0.0036415008
Viral,0.8115,0.747615,0.74850061,0.0034633131,0.0036033592
Viral,0.9665,0.9708,0.38496891,0.000370281,0.0001767912
Viral,0.974,0.97294,0.43880731,0.0043442445,0.0027741776
Viral,0.958,0.971197,0.35678908,0.0009246763,0.0004411074
Viral,1.002,1.06,0.42914536,6.85205e-05,3.89217e-05
Viral,0.9585,0.972339,0.35140582,0.0010057848,0.0004413582
Viral,0.966,0.976009,0.38746045,0.0004350726,0.0002006819
Viral,0.9525,0.9713,0.36939958,0.0005222623,0.0002677849
Viral,1.004,1.06951,0.44167306,6.52171e-05,3.56341e-05
Viral,0.9975,1.05845,0.41273839,6.95466e-05,4.09276e-05
Viral,0.8915,0.864949,0.70387803,0.0014674598,0.0014697172
Viral,0.951,0.97542,0.33601568,0.0007401615,0.0003528859
Viral,0.9365,0.963808,0.35697928,0.0029834945,0.0016887316
Viral,1.0035,1.01847,0.4393619,0.000130209,7.71189e-05
Viral,0.9995,1.06231,0.4265938,6.86957e-05,4.0245e-05
Viral,0.974,1.00413,0.37583643,0.0001346385,7.691e-05
Viral,0.993,1.0074,0.43422712,0.0001586632,9.25817e-05
Viral,0.995,1.0655,0.40977713,6.96216e-05,3.88659e-05
Viral,0.9465,0.968877,0.33347417,0.0011253828,0.0005066223
Viral,0.961,0.966744,0.36833206,0.0070155678,0.0031054156
Viral,0.9915,1.01808,0.43666927,0.0001280317,7.14492e-05
Viral,1.002,1.05994,0.43173565,6.89209e-05,3.98968e-05
Viral,0.9255,0.974186,0.2962345,0.0004200321,0.0001787972
Viral,0.9315,0.90434,0.65384009,0.0017462216,0.0016569284
Viral,0.9325,0.923323,0.62763566,0.001046827,0.0008888318
Viral,0.9465,0.956121,0.35367253,0.0009158422,0.0004410238
Viral,0.9795,0.971848,0.47227489,0.0010953519,0.000628848
Viral,0.97,0.975147,0.39150236,0.0008681932,0.0004719773
Viral,0.9895,1.02212,0.42044008,0.0001376166,7.72722e-05
Viral,1.006,1.03255,0.51956124,6.84454e-05,4.84222e-05
Viral,0.951,0.934837,0.46167151,0.0009983271,0.0005696993
Viral,0.968,0.968031,0.42778925,0.0058368551,0.0035338463
Viral,0.9785,0.968799,0.4951969,0.0011514847,0.0006922036
Viral,0.9635,0.96618,0.39606373,0.0001335124,7.60881e-05
Viral,0.863,0.808118,0.49253821,0.0037462542,0.0023995602
Viral,0.905,0.865108,0.6335889,0.0047621244,0.0045750771
Viral,0.978,0.968853,0.48315803,0.0009398419,0.0005500435
Viral,0.9935,1.00454,0.43722755,0.0001722272,0.0001032664
Viral,0.974,0.963395,0.52826739,0.0007666888,0.0005421588
Viral,0.956,0.972461,0.34696748,0.0009605883,0.0004034116
Viral,0.9675,0.97937,0.37534146,0.0004122491,0.0001814579
Viral,0.9565,0.973506,0.35509138,0.0008051283,0.0003951648
Viral,0.987,1.02638,0.40933958,0.0001280818,6.39129e-05
Viral,0.992,1.01524,0.42229977,0.0001362402,8.54911e-05
Viral,0.925,0.900017,0.65193917,0.0010614671,0.0010214635
Viral,0.9085,0.928027,0.33759339,0.0021637761,0.0011383399
Viral,0.8885,0.95446,0.24826306,0.0004718605,0.0001621225
Viral,0.949,0.970168,0.33554745,0.001036091,0.0004697484
Viral,0.905,0.886838,0.43560451,0.004048315,0.0025312586
Viral,0.997,1.06251,0.42572463,6.90711e-05,4.00918e-05
Viral,0.9385,0.894299,0.61700962,0.0060333823,0.0053440235
Viral,0.95,0.965348,0.35641229,0.0028334151,0.0014755262
Viral,0.998,1.05975,0.42124408,6.87958e-05,4.01475e-05
Viral,0.9655,0.965634,0.42599475,0.0061271538,0.0034178058
Viral,0.963,0.967273,0.42493918,0.0032510448,0.0020787143
Viral,0.778,0.721764,0.73562849,0.0035902187,0.0037401701
Viral,1.009,1.27563,0.41935483,1.70676e-05,9.5006e-06
Viral,1.0955,1.89253,0.53043478,5.7559e-06,3.1065e-06
Viral,1.0055,1.0571,0.530858,4.98763e-05,3.50768e-05
Viral,0.851,0.829941,0.57499227,0.0046157238,0.0036361236
Viral,0.9835,1.02022,0.41548771,0.0001344383,7.47368e-05
Viral,0.897,0.841605,0.56666045,0.0037594678,0.0029507738
Viral,0.918,0.873049,0.6449554,0.0033642362,0.0031684091
Viral,0.9855,0.979623,0.45058664,0.0001109141,7.31487e-05
Viral,0.8045,0.737898,0.74456116,0.0039237619,0.0040932789
Viral,0.98,0.973883,0.43609614,0.0008267005,0.0004456627
Viral,0.9845,0.95365,0.54046914,0.0008620369,0.0006089692
Viral,0.987,0.967901,0.47776628,0.0007743967,0.0005213328
Viral,0.956,0.906133,0.53782482,0.0011277352,0.0008548694
Viral,0.988,1.00981,0.44086021,0.0001792094,0.0001041579
Viral,0.981,1.11687,0.39512555,3.38849e-05,2.06171e-05
Viral,0.9605,0.972191,0.37566977,0.0001261047,7.209e-05
Viral,0.9875,0.990877,0.46117763,0.0002027336,0.0001299849
Viral,0.8055,0.816556,0.33579075,0.0142063408,0.0057415983
Viral,0.9425,0.926416,0.55053209,0.0026503017,0.0020832695
Viral,0.9865,0.972209,0.50485095,0.0009956744,0.0007173063
Viral,0.9905,1.13952,0.40958605,3.44605e-05,1.85553e-05
Viral,0.9325,0.895218,0.67745387,0.0012396254,0.0012248201
Viral,0.924,0.968962,0.29033495,0.0003915028,0.0001635016
Viral,0.985,1.01895,0.41395082,0.0001313101,7.13378e-05
Viral,0.9985,1.04678,0.42824074,7.56779e-05,4.50789e-05
Viral,0.999,1.00829,0.43410404,0.0001298836,6.8691e-05
Viral,0.9305,0.908401,0.63434949,0.0012018365,0.0011090581
Viral,0.9485,0.921627,0.62622259,0.0008904161,0.0007895774
Viral,0.8505,0.895963,0.38433629,0.0002000308,8.98792e-05
Viral,1.032,1.24128,0.54672245,1.79435e-05,1.06568e-05
Viral,0.977,1.02811,0.42977743,9.78256e-05,6.15725e-05
Viral,0.974,1.15077,0.37463556,3.43353e-05,1.63125e-05
Viral,0.959,1.13497,0.35441176,3.4035e-05,1.77892e-05
Viral,0.992,0.984227,0.54132935,0.0001174709,9.26653e-05
Viral,0.9785,0.967924,0.48398727,0.0009994533,0.0005943144
Viral,0.904,0.865526,0.63444363,0.0035026536,0.0032146581
Viral,0.9845,0.966069,0.49142937,0.0055420518,0.003862145
Viral,0.8695,0.924843,0.27233288,0.0046610454,0.001424304
Viral,0.991,1.06321,0.40677966,6.93964e-05,3.76401e-05
Viral,0.999,1.05943,0.4226691,6.84454e-05,4.12062e-05
Viral,0.983,0.973096,0.45552461,0.0012221574,0.00072696
