Total bytes: 59644 (58.2 KB), 1.938 bpb, 1.936 bps w/ no header, Normalized Dissimilarity Rate: 0.969214
Total bytes: 59654 (58.3 KB), 1.939 bpb, 1.937 bps w/ no header, Normalized Dissimilarity Rate: 0.969377
Total bytes: 59717 (58.3 KB), 1.941 bpb, 1.938 bps w/ no header, Normalized Dissimilarity Rate: 0.970401
Total bytes: 59695 (58.3 KB), 1.94 bpb, 1.937 bps w/ no header, Normalized Dissimilarity Rate: 0.970043
Total bytes: 59709 (58.3 KB), 1.941 bpb, 1.936 bps w/ no header, Normalized Dissimilarity Rate: 0.970271
Total bytes: 104234 (101.8 KB), 1.896 bpb, 1.895 bps w/ no header, Normalized Dissimilarity Rate: 0.948047
Total bytes: 104148 (101.7 KB), 1.895 bpb, 1.893 bps w/ no header, Normalized Dissimilarity Rate: 0.947265
Total bytes: 104100 (101.7 KB), 1.894 bpb, 1.892 bps w/ no header, Normalized Dissimilarity Rate: 0.946828
Total bytes: 104115 (101.7 KB), 1.894 bpb, 1.893 bps w/ no header, Normalized Dissimilarity Rate: 0.946965
Total bytes: 104178 (101.7 KB), 1.895 bpb, 1.893 bps w/ no header, Normalized Dissimilarity Rate: 0.947538
Total bytes: 104148 (101.7 KB), 1.895 bpb, 1.893 bps w/ no header, Normalized Dissimilarity Rate: 0.947265
Total bytes: 129268 (126.2 KB), 1.902 bpb, 1.901 bps w/ no header, Normalized Dissimilarity Rate: 0.951005
Total bytes: 129216 (126.2 KB), 1.901 bpb, 1.9 bps w/ no header, Normalized Dissimilarity Rate: 0.950623
Total bytes: 129155 (126.1 KB), 1.9 bpb, 1.899 bps w/ no header, Normalized Dissimilarity Rate: 0.950174
Total bytes: 129172 (126.1 KB), 1.901 bpb, 1.9 bps w/ no header, Normalized Dissimilarity Rate: 0.950299
Total bytes: 129237 (126.2 KB), 1.902 bpb, 1.9 bps w/ no header, Normalized Dissimilarity Rate: 0.950777
Total bytes: 129200 (126.2 KB), 1.901 bpb, 1.899 bps w/ no header, Normalized Dissimilarity Rate: 0.950505
Total bytes: 198221 (193.6 KB), 1.912 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.956225
Total bytes: 198307 (193.7 KB), 1.913 bpb, 1.913 bps w/ no header, Normalized Dissimilarity Rate: 0.95664
Total bytes: 198083 (193.4 KB), 1.911 bpb, 1.911 bps w/ no header, Normalized Dissimilarity Rate: 0.95556
Total bytes: 198075 (193.4 KB), 1.911 bpb, 1.91 bps w/ no header, Normalized Dissimilarity Rate: 0.955521
Total bytes: 198193 (193.5 KB), 1.912 bpb, 1.911 bps w/ no header, Normalized Dissimilarity Rate: 0.95609
Total bytes: 198095 (193.5 KB), 1.911 bpb, 1.91 bps w/ no header, Normalized Dissimilarity Rate: 0.955618
Total bytes: 125892 (122.9 KB), 1.842 bpb, 1.841 bps w/ no header, Normalized Dissimilarity Rate: 0.920771
Total bytes: 125811 (122.9 KB), 1.84 bpb, 1.84 bps w/ no header, Normalized Dissimilarity Rate: 0.920179
Total bytes: 125776 (122.8 KB), 1.84 bpb, 1.839 bps w/ no header, Normalized Dissimilarity Rate: 0.919923
Total bytes: 125770 (122.8 KB), 1.84 bpb, 1.839 bps w/ no header, Normalized Dissimilarity Rate: 0.919879
Total bytes: 125852 (122.9 KB), 1.841 bpb, 1.84 bps w/ no header, Normalized Dissimilarity Rate: 0.920479
Total bytes: 125810 (122.9 KB), 1.84 bpb, 1.839 bps w/ no header, Normalized Dissimilarity Rate: 0.920172
Total bytes: 221348 (216.2 KB), 1.81 bpb, 1.81 bps w/ no header, Normalized Dissimilarity Rate: 0.905047
Total bytes: 221411 (216.2 KB), 1.811 bpb, 1.81 bps w/ no header, Normalized Dissimilarity Rate: 0.905304
Total bytes: 221167 (216.0 KB), 1.809 bpb, 1.808 bps w/ no header, Normalized Dissimilarity Rate: 0.904307
Total bytes: 221068 (215.9 KB), 1.808 bpb, 1.807 bps w/ no header, Normalized Dissimilarity Rate: 0.903902
Total bytes: 221112 (215.9 KB), 1.808 bpb, 1.807 bps w/ no header, Normalized Dissimilarity Rate: 0.904082
Total bytes: 221096 (215.9 KB), 1.808 bpb, 1.807 bps w/ no header, Normalized Dissimilarity Rate: 0.904017
Total bytes: 221109 (215.9 KB), 1.808 bpb, 1.807 bps w/ no header, Normalized Dissimilarity Rate: 0.90407
Total bytes: 422409 (412.5 KB), 1.86 bpb, 1.86 bps w/ no header, Normalized Dissimilarity Rate: 0.930042
Total bytes: 422754 (412.8 KB), 1.862 bpb, 1.861 bps w/ no header, Normalized Dissimilarity Rate: 0.930802
Total bytes: 422440 (412.5 KB), 1.86 bpb, 1.86 bps w/ no header, Normalized Dissimilarity Rate: 0.930111
Total bytes: 422233 (412.3 KB), 1.859 bpb, 1.859 bps w/ no header, Normalized Dissimilarity Rate: 0.929655
Total bytes: 422229 (412.3 KB), 1.859 bpb, 1.859 bps w/ no header, Normalized Dissimilarity Rate: 0.929646
Total bytes: 422143 (412.2 KB), 1.859 bpb, 1.858 bps w/ no header, Normalized Dissimilarity Rate: 0.929457
Total bytes: 65654 (64.1 KB), 1.867 bpb, 1.866 bps w/ no header, Normalized Dissimilarity Rate: 0.933497
Total bytes: 65615 (64.1 KB), 1.866 bpb, 1.864 bps w/ no header, Normalized Dissimilarity Rate: 0.932942
Total bytes: 65596 (64.1 KB), 1.865 bpb, 1.864 bps w/ no header, Normalized Dissimilarity Rate: 0.932672
Total bytes: 65594 (64.1 KB), 1.865 bpb, 1.863 bps w/ no header, Normalized Dissimilarity Rate: 0.932644
Total bytes: 65645 (64.1 KB), 1.867 bpb, 1.864 bps w/ no header, Normalized Dissimilarity Rate: 0.933369
Total bytes: 65634 (64.1 KB), 1.866 bpb, 1.863 bps w/ no header, Normalized Dissimilarity Rate: 0.933212
Total bytes: 65656 (64.1 KB), 1.867 bpb, 1.863 bps w/ no header, Normalized Dissimilarity Rate: 0.933525
Total bytes: 113518 (110.9 KB), 1.808 bpb, 1.807 bps w/ no header, Normalized Dissimilarity Rate: 0.903879
Total bytes: 113468 (110.8 KB), 1.807 bpb, 1.806 bps w/ no header, Normalized Dissimilarity Rate: 0.903481
Total bytes: 113467 (110.8 KB), 1.807 bpb, 1.806 bps w/ no header, Normalized Dissimilarity Rate: 0.903473
Total bytes: 113476 (110.8 KB), 1.807 bpb, 1.806 bps w/ no header, Normalized Dissimilarity Rate: 0.903545
Total bytes: 113521 (110.9 KB), 1.808 bpb, 1.806 bps w/ no header, Normalized Dissimilarity Rate: 0.903903
Total bytes: 113497 (110.8 KB), 1.807 bpb, 1.806 bps w/ no header, Normalized Dissimilarity Rate: 0.903712
Total bytes: 113531 (110.9 KB), 1.808 bpb, 1.806 bps w/ no header, Normalized Dissimilarity Rate: 0.903983
Total bytes: 66781 (65.2 KB), 1.933 bpb, 1.931 bps w/ no header, Normalized Dissimilarity Rate: 0.966339
Total bytes: 66745 (65.2 KB), 1.932 bpb, 1.93 bps w/ no header, Normalized Dissimilarity Rate: 0.965818
Total bytes: 66716 (65.2 KB), 1.931 bpb, 1.929 bps w/ no header, Normalized Dissimilarity Rate: 0.965398
Total bytes: 66714 (65.2 KB), 1.931 bpb, 1.929 bps w/ no header, Normalized Dissimilarity Rate: 0.965369
Total bytes: 66781 (65.2 KB), 1.933 bpb, 1.93 bps w/ no header, Normalized Dissimilarity Rate: 0.966339
Total bytes: 66775 (65.2 KB), 1.933 bpb, 1.929 bps w/ no header, Normalized Dissimilarity Rate: 0.966252
Total bytes: 66801 (65.2 KB), 1.933 bpb, 1.93 bps w/ no header, Normalized Dissimilarity Rate: 0.966628
Total bytes: 71608 (69.9 KB), 1.859 bpb, 1.858 bps w/ no header, Normalized Dissimilarity Rate: 0.929669
Total bytes: 71605 (69.9 KB), 1.859 bpb, 1.858 bps w/ no header, Normalized Dissimilarity Rate: 0.92963
Total bytes: 71502 (69.8 KB), 1.857 bpb, 1.855 bps w/ no header, Normalized Dissimilarity Rate: 0.928293
Total bytes: 71515 (69.8 KB), 1.857 bpb, 1.855 bps w/ no header, Normalized Dissimilarity Rate: 0.928462
Total bytes: 71597 (69.9 KB), 1.859 bpb, 1.857 bps w/ no header, Normalized Dissimilarity Rate: 0.929526
Total bytes: 71550 (69.9 KB), 1.858 bpb, 1.855 bps w/ no header, Normalized Dissimilarity Rate: 0.928916
Total bytes: 58517 (57.1 KB), 1.912 bpb, 1.911 bps w/ no header, Normalized Dissimilarity Rate: 0.956199
Total bytes: 58451 (57.1 KB), 1.91 bpb, 1.908 bps w/ no header, Normalized Dissimilarity Rate: 0.955121
Total bytes: 58444 (57.1 KB), 1.91 bpb, 1.908 bps w/ no header, Normalized Dissimilarity Rate: 0.955006
Total bytes: 58484 (57.1 KB), 1.911 bpb, 1.909 bps w/ no header, Normalized Dissimilarity Rate: 0.95566
Total bytes: 58543 (57.2 KB), 1.913 bpb, 1.91 bps w/ no header, Normalized Dissimilarity Rate: 0.956624
Total bytes: 58509 (57.1 KB), 1.912 bpb, 1.909 bps w/ no header, Normalized Dissimilarity Rate: 0.956068
Total bytes: 68308 (66.7 KB), 1.877 bpb, 1.875 bps w/ no header, Normalized Dissimilarity Rate: 0.93838
Total bytes: 68250 (66.7 KB), 1.875 bpb, 1.874 bps w/ no header, Normalized Dissimilarity Rate: 0.937584
Total bytes: 68224 (66.6 KB), 1.874 bpb, 1.873 bps w/ no header, Normalized Dissimilarity Rate: 0.937227
Total bytes: 68218 (66.6 KB), 1.874 bpb, 1.873 bps w/ no header, Normalized Dissimilarity Rate: 0.937144
Total bytes: 68283 (66.7 KB), 1.876 bpb, 1.874 bps w/ no header, Normalized Dissimilarity Rate: 0.938037
Total bytes: 68287 (66.7 KB), 1.876 bpb, 1.873 bps w/ no header, Normalized Dissimilarity Rate: 0.938092
Total bytes: 48240 (47.1 KB), 1.842 bpb, 1.84 bps w/ no header, Normalized Dissimilarity Rate: 0.920914
Total bytes: 48172 (47.0 KB), 1.839 bpb, 1.837 bps w/ no header, Normalized Dissimilarity Rate: 0.919616
Total bytes: 48080 (47.0 KB), 1.836 bpb, 1.833 bps w/ no header, Normalized Dissimilarity Rate: 0.917859
Total bytes: 48096 (47.0 KB), 1.836 bpb, 1.834 bps w/ no header, Normalized Dissimilarity Rate: 0.918165
Total bytes: 48187 (47.1 KB), 1.84 bpb, 1.836 bps w/ no header, Normalized Dissimilarity Rate: 0.919902
Total bytes: 48111 (47.0 KB), 1.837 bpb, 1.833 bps w/ no header, Normalized Dissimilarity Rate: 0.918451
Total bytes: 189731 (185.3 KB), 1.899 bpb, 1.898 bps w/ no header, Normalized Dissimilarity Rate: 0.9494
Total bytes: 189858 (185.4 KB), 1.9 bpb, 1.899 bps w/ no header, Normalized Dissimilarity Rate: 0.950036
Total bytes: 189607 (185.2 KB), 1.898 bpb, 1.897 bps w/ no header, Normalized Dissimilarity Rate: 0.94878
Total bytes: 189578 (185.1 KB), 1.897 bpb, 1.897 bps w/ no header, Normalized Dissimilarity Rate: 0.948635
Total bytes: 189675 (185.2 KB), 1.898 bpb, 1.897 bps w/ no header, Normalized Dissimilarity Rate: 0.94912
Total bytes: 189549 (185.1 KB), 1.897 bpb, 1.896 bps w/ no header, Normalized Dissimilarity Rate: 0.94849
Total bytes: 123219 (120.3 KB), 1.915 bpb, 1.915 bps w/ no header, Normalized Dissimilarity Rate: 0.957654
Total bytes: 123240 (120.4 KB), 1.916 bpb, 1.915 bps w/ no header, Normalized Dissimilarity Rate: 0.957818
Total bytes: 123111 (120.2 KB), 1.914 bpb, 1.913 bps w/ no header, Normalized Dissimilarity Rate: 0.956815
Total bytes: 123101 (120.2 KB), 1.913 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.956737
Total bytes: 123194 (120.3 KB), 1.915 bpb, 1.913 bps w/ no header, Normalized Dissimilarity Rate: 0.95746
Total bytes: 123136 (120.2 KB), 1.914 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.957009
Total bytes: 138710 (135.5 KB), 1.893 bpb, 1.892 bps w/ no header, Normalized Dissimilarity Rate: 0.946383
Total bytes: 138802 (135.5 KB), 1.894 bpb, 1.893 bps w/ no header, Normalized Dissimilarity Rate: 0.947011
Total bytes: 138663 (135.4 KB), 1.892 bpb, 1.891 bps w/ no header, Normalized Dissimilarity Rate: 0.946063
Total bytes: 138642 (135.4 KB), 1.892 bpb, 1.891 bps w/ no header, Normalized Dissimilarity Rate: 0.945919
Total bytes: 138693 (135.4 KB), 1.893 bpb, 1.891 bps w/ no header, Normalized Dissimilarity Rate: 0.946267
Total bytes: 138673 (135.4 KB), 1.892 bpb, 1.891 bps w/ no header, Normalized Dissimilarity Rate: 0.946131
Total bytes: 112908 (110.3 KB), 1.878 bpb, 1.877 bps w/ no header, Normalized Dissimilarity Rate: 0.938932
Total bytes: 112889 (110.2 KB), 1.878 bpb, 1.877 bps w/ no header, Normalized Dissimilarity Rate: 0.938774
Total bytes: 112883 (110.2 KB), 1.877 bpb, 1.876 bps w/ no header, Normalized Dissimilarity Rate: 0.938724
Total bytes: 112899 (110.3 KB), 1.878 bpb, 1.877 bps w/ no header, Normalized Dissimilarity Rate: 0.938857
Total bytes: 112950 (110.3 KB), 1.879 bpb, 1.877 bps w/ no header, Normalized Dissimilarity Rate: 0.939281
Total bytes: 112936 (110.3 KB), 1.878 bpb, 1.877 bps w/ no header, Normalized Dissimilarity Rate: 0.939165
Total bytes: 111917 (109.3 KB), 1.854 bpb, 1.853 bps w/ no header, Normalized Dissimilarity Rate: 0.927048
Total bytes: 111949 (109.3 KB), 1.855 bpb, 1.854 bps w/ no header, Normalized Dissimilarity Rate: 0.927314
Total bytes: 111861 (109.2 KB), 1.853 bpb, 1.852 bps w/ no header, Normalized Dissimilarity Rate: 0.926585
Total bytes: 111842 (109.2 KB), 1.853 bpb, 1.852 bps w/ no header, Normalized Dissimilarity Rate: 0.926427
Total bytes: 111898 (109.3 KB), 1.854 bpb, 1.852 bps w/ no header, Normalized Dissimilarity Rate: 0.926891
Total bytes: 111848 (109.2 KB), 1.853 bpb, 1.851 bps w/ no header, Normalized Dissimilarity Rate: 0.926477
Total bytes: 133512 (130.4 KB), 1.802 bpb, 1.801 bps w/ no header, Normalized Dissimilarity Rate: 0.900898
Total bytes: 133458 (130.3 KB), 1.801 bpb, 1.8 bps w/ no header, Normalized Dissimilarity Rate: 0.900534
Total bytes: 133435 (130.3 KB), 1.801 bpb, 1.8 bps w/ no header, Normalized Dissimilarity Rate: 0.900379
Total bytes: 133431 (130.3 KB), 1.801 bpb, 1.8 bps w/ no header, Normalized Dissimilarity Rate: 0.900352
Total bytes: 133496 (130.4 KB), 1.802 bpb, 1.8 bps w/ no header, Normalized Dissimilarity Rate: 0.90079
Total bytes: 133484 (130.4 KB), 1.801 bpb, 1.8 bps w/ no header, Normalized Dissimilarity Rate: 0.900709
Total bytes: 129661 (126.6 KB), 1.918 bpb, 1.917 bps w/ no header, Normalized Dissimilarity Rate: 0.958941
Total bytes: 129675 (126.6 KB), 1.918 bpb, 1.917 bps w/ no header, Normalized Dissimilarity Rate: 0.959044
Total bytes: 129602 (126.6 KB), 1.917 bpb, 1.916 bps w/ no header, Normalized Dissimilarity Rate: 0.958504
Total bytes: 129614 (126.6 KB), 1.917 bpb, 1.916 bps w/ no header, Normalized Dissimilarity Rate: 0.958593
Total bytes: 129681 (126.6 KB), 1.918 bpb, 1.917 bps w/ no header, Normalized Dissimilarity Rate: 0.959089
Total bytes: 129629 (126.6 KB), 1.917 bpb, 1.916 bps w/ no header, Normalized Dissimilarity Rate: 0.958704
Total bytes: 157871 (154.2 KB), 1.803 bpb, 1.803 bps w/ no header, Normalized Dissimilarity Rate: 0.901546
Total bytes: 157810 (154.1 KB), 1.802 bpb, 1.802 bps w/ no header, Normalized Dissimilarity Rate: 0.901197
Total bytes: 157796 (154.1 KB), 1.802 bpb, 1.802 bps w/ no header, Normalized Dissimilarity Rate: 0.901117
Total bytes: 157778 (154.1 KB), 1.802 bpb, 1.801 bps w/ no header, Normalized Dissimilarity Rate: 0.901014
Total bytes: 157852 (154.2 KB), 1.803 bpb, 1.802 bps w/ no header, Normalized Dissimilarity Rate: 0.901437
Total bytes: 157794 (154.1 KB), 1.802 bpb, 1.801 bps w/ no header, Normalized Dissimilarity Rate: 0.901106
Total bytes: 237116 (231.6 KB), 1.801 bpb, 1.801 bps w/ no header, Normalized Dissimilarity Rate: 0.900592
Total bytes: 237179 (231.6 KB), 1.802 bpb, 1.801 bps w/ no header, Normalized Dissimilarity Rate: 0.900831
Total bytes: 237009 (231.5 KB), 1.8 bpb, 1.8 bps w/ no header, Normalized Dissimilarity Rate: 0.900186
Total bytes: 236954 (231.4 KB), 1.8 bpb, 1.799 bps w/ no header, Normalized Dissimilarity Rate: 0.899977
Total bytes: 236993 (231.4 KB), 1.8 bpb, 1.8 bps w/ no header, Normalized Dissimilarity Rate: 0.900125
Total bytes: 236973 (231.4 KB), 1.8 bpb, 1.799 bps w/ no header, Normalized Dissimilarity Rate: 0.900049
