Total bytes: 349029 (340.8 KB), 1.98 bpb, 1.98 bps w/ no header, Normalized Dissimilarity Rate: 0.990239
Total bytes: 349060 (340.9 KB), 1.981 bpb, 1.98 bps w/ no header, Normalized Dissimilarity Rate: 0.990327
Total bytes: 349067 (340.9 KB), 1.981 bpb, 1.98 bps w/ no header, Normalized Dissimilarity Rate: 0.990347
Total bytes: 467565 (456.6 KB), 1.946 bpb, 1.945 bps w/ no header, Normalized Dissimilarity Rate: 0.972759
Total bytes: 466555 (455.6 KB), 1.941 bpb, 1.941 bps w/ no header, Normalized Dissimilarity Rate: 0.970657
Total bytes: 466260 (455.3 KB), 1.94 bpb, 1.94 bps w/ no header, Normalized Dissimilarity Rate: 0.970044
Total bytes: 465962 (455.0 KB), 1.939 bpb, 1.939 bps w/ no header, Normalized Dissimilarity Rate: 0.969424
Total bytes: 465762 (454.8 KB), 1.938 bpb, 1.938 bps w/ no header, Normalized Dissimilarity Rate: 0.969008
Total bytes: 465991 (455.1 KB), 1.939 bpb, 1.939 bps w/ no header, Normalized Dissimilarity Rate: 0.969484
Total bytes: 863919 (843.7 KB), 1.952 bpb, 1.951 bps w/ no header, Normalized Dissimilarity Rate: 0.975756
Total bytes: 866156 (845.9 KB), 1.957 bpb, 1.956 bps w/ no header, Normalized Dissimilarity Rate: 0.978283
Total bytes: 858184 (838.1 KB), 1.939 bpb, 1.938 bps w/ no header, Normalized Dissimilarity Rate: 0.969279
Total bytes: 849995 (830.1 KB), 1.92 bpb, 1.92 bps w/ no header, Normalized Dissimilarity Rate: 0.96003
Total bytes: 844706 (824.9 KB), 1.908 bpb, 1.908 bps w/ no header, Normalized Dissimilarity Rate: 0.954056
Total bytes: 846671 (826.8 KB), 1.913 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.956275
Total bytes: 379156 (370.3 KB), 1.978 bpb, 1.977 bps w/ no header, Normalized Dissimilarity Rate: 0.988828
Total bytes: 378317 (369.5 KB), 1.973 bpb, 1.973 bps w/ no header, Normalized Dissimilarity Rate: 0.98664
Total bytes: 377819 (369.0 KB), 1.971 bpb, 1.97 bps w/ no header, Normalized Dissimilarity Rate: 0.985341
Total bytes: 377797 (368.9 KB), 1.971 bpb, 1.97 bps w/ no header, Normalized Dissimilarity Rate: 0.985284
Total bytes: 377732 (368.9 KB), 1.97 bpb, 1.97 bps w/ no header, Normalized Dissimilarity Rate: 0.985114
Total bytes: 377910 (369.1 KB), 1.971 bpb, 1.971 bps w/ no header, Normalized Dissimilarity Rate: 0.985579
Total bytes: 227236 (221.9 KB), 1.963 bpb, 1.962 bps w/ no header, Normalized Dissimilarity Rate: 0.981412
Total bytes: 226487 (221.2 KB), 1.956 bpb, 1.956 bps w/ no header, Normalized Dissimilarity Rate: 0.978178
Total bytes: 226018 (220.7 KB), 1.952 bpb, 1.952 bps w/ no header, Normalized Dissimilarity Rate: 0.976152
Total bytes: 225902 (220.6 KB), 1.951 bpb, 1.951 bps w/ no header, Normalized Dissimilarity Rate: 0.975651
Total bytes: 225816 (220.5 KB), 1.951 bpb, 1.95 bps w/ no header, Normalized Dissimilarity Rate: 0.97528
Total bytes: 225924 (220.6 KB), 1.951 bpb, 1.951 bps w/ no header, Normalized Dissimilarity Rate: 0.975746
Total bytes: 225972 (220.7 KB), 1.952 bpb, 1.951 bps w/ no header, Normalized Dissimilarity Rate: 0.975953
Total bytes: 297476 (290.5 KB), 1.94 bpb, 1.94 bps w/ no header, Normalized Dissimilarity Rate: 0.969972
Total bytes: 297632 (290.7 KB), 1.941 bpb, 1.941 bps w/ no header, Normalized Dissimilarity Rate: 0.97048
Total bytes: 296107 (289.2 KB), 1.931 bpb, 1.931 bps w/ no header, Normalized Dissimilarity Rate: 0.965508
Total bytes: 295022 (288.1 KB), 1.924 bpb, 1.924 bps w/ no header, Normalized Dissimilarity Rate: 0.96197
Total bytes: 294256 (287.4 KB), 1.919 bpb, 1.918 bps w/ no header, Normalized Dissimilarity Rate: 0.959472
Total bytes: 294893 (288.0 KB), 1.923 bpb, 1.922 bps w/ no header, Normalized Dissimilarity Rate: 0.961549
Total bytes: 294757 (287.8 KB), 1.922 bpb, 1.921 bps w/ no header, Normalized Dissimilarity Rate: 0.961106
Total bytes: 562787 (549.6 KB), 1.935 bpb, 1.935 bps w/ no header, Normalized Dissimilarity Rate: 0.967424
Total bytes: 561834 (548.7 KB), 1.932 bpb, 1.931 bps w/ no header, Normalized Dissimilarity Rate: 0.965786
Total bytes: 559650 (546.5 KB), 1.924 bpb, 1.924 bps w/ no header, Normalized Dissimilarity Rate: 0.962031
Total bytes: 558758 (545.7 KB), 1.921 bpb, 1.921 bps w/ no header, Normalized Dissimilarity Rate: 0.960498
Total bytes: 558353 (545.3 KB), 1.92 bpb, 1.919 bps w/ no header, Normalized Dissimilarity Rate: 0.959802
Total bytes: 558915 (545.8 KB), 1.922 bpb, 1.921 bps w/ no header, Normalized Dissimilarity Rate: 0.960768
Total bytes: 558708 (545.6 KB), 1.921 bpb, 1.92 bps w/ no header, Normalized Dissimilarity Rate: 0.960412
Total bytes: 223537 (218.3 KB), 1.889 bpb, 1.888 bps w/ no header, Normalized Dissimilarity Rate: 0.944359
Total bytes: 222719 (217.5 KB), 1.882 bpb, 1.881 bps w/ no header, Normalized Dissimilarity Rate: 0.940903
Total bytes: 221945 (216.7 KB), 1.875 bpb, 1.875 bps w/ no header, Normalized Dissimilarity Rate: 0.937633
Total bytes: 221451 (216.3 KB), 1.871 bpb, 1.871 bps w/ no header, Normalized Dissimilarity Rate: 0.935546
Total bytes: 221143 (216.0 KB), 1.868 bpb, 1.868 bps w/ no header, Normalized Dissimilarity Rate: 0.934245
Total bytes: 221422 (216.2 KB), 1.871 bpb, 1.87 bps w/ no header, Normalized Dissimilarity Rate: 0.935424
Total bytes: 221366 (216.2 KB), 1.87 bpb, 1.869 bps w/ no header, Normalized Dissimilarity Rate: 0.935187
Total bytes: 594625 (580.7 KB), 1.92 bpb, 1.92 bps w/ no header, Normalized Dissimilarity Rate: 0.96012
Total bytes: 594703 (580.8 KB), 1.92 bpb, 1.92 bps w/ no header, Normalized Dissimilarity Rate: 0.960246
Total bytes: 592000 (578.1 KB), 1.912 bpb, 1.912 bps w/ no header, Normalized Dissimilarity Rate: 0.955881
Total bytes: 589703 (575.9 KB), 1.904 bpb, 1.904 bps w/ no header, Normalized Dissimilarity Rate: 0.952172
Total bytes: 588066 (574.3 KB), 1.899 bpb, 1.899 bps w/ no header, Normalized Dissimilarity Rate: 0.949529
Total bytes: 588887 (575.1 KB), 1.902 bpb, 1.901 bps w/ no header, Normalized Dissimilarity Rate: 0.950855
Total bytes: 588791 (575.0 KB), 1.901 bpb, 1.901 bps w/ no header, Normalized Dissimilarity Rate: 0.9507
Total bytes: 424718 (414.8 KB), 1.948 bpb, 1.948 bps w/ no header, Normalized Dissimilarity Rate: 0.974228
Total bytes: 423219 (413.3 KB), 1.942 bpb, 1.941 bps w/ no header, Normalized Dissimilarity Rate: 0.97079
Total bytes: 421699 (411.8 KB), 1.935 bpb, 1.934 bps w/ no header, Normalized Dissimilarity Rate: 0.967303
Total bytes: 420780 (410.9 KB), 1.93 bpb, 1.93 bps w/ no header, Normalized Dissimilarity Rate: 0.965195
Total bytes: 420394 (410.5 KB), 1.929 bpb, 1.928 bps w/ no header, Normalized Dissimilarity Rate: 0.96431
Total bytes: 420934 (411.1 KB), 1.931 bpb, 1.931 bps w/ no header, Normalized Dissimilarity Rate: 0.965548
Total bytes: 420822 (411.0 KB), 1.931 bpb, 1.93 bps w/ no header, Normalized Dissimilarity Rate: 0.965292
Total bytes: 334537 (326.7 KB), 1.896 bpb, 1.896 bps w/ no header, Normalized Dissimilarity Rate: 0.948132
Total bytes: 334107 (326.3 KB), 1.894 bpb, 1.893 bps w/ no header, Normalized Dissimilarity Rate: 0.946913
Total bytes: 332603 (324.8 KB), 1.885 bpb, 1.885 bps w/ no header, Normalized Dissimilarity Rate: 0.942651
Total bytes: 331527 (323.8 KB), 1.879 bpb, 1.879 bps w/ no header, Normalized Dissimilarity Rate: 0.939601
Total bytes: 331037 (323.3 KB), 1.876 bpb, 1.876 bps w/ no header, Normalized Dissimilarity Rate: 0.938212
Total bytes: 331476 (323.7 KB), 1.879 bpb, 1.878 bps w/ no header, Normalized Dissimilarity Rate: 0.939457
Total bytes: 331400 (323.6 KB), 1.878 bpb, 1.878 bps w/ no header, Normalized Dissimilarity Rate: 0.939241
Total bytes: 633677 (618.8 KB), 1.961 bpb, 1.961 bps w/ no header, Normalized Dissimilarity Rate: 0.980729
Total bytes: 632091 (617.3 KB), 1.957 bpb, 1.956 bps w/ no header, Normalized Dissimilarity Rate: 0.978274
Total bytes: 631793 (617.0 KB), 1.956 bpb, 1.955 bps w/ no header, Normalized Dissimilarity Rate: 0.977813
