Total bytes: 536195 (523.6 KB), 1.9 bpb, 1.9 bps w/ no header, Normalized Dissimilarity Rate: 0.950074
Total bytes: 533749 (521.2 KB), 1.891 bpb, 1.891 bps w/ no header, Normalized Dissimilarity Rate: 0.94574
Total bytes: 533028 (520.5 KB), 1.889 bpb, 1.889 bps w/ no header, Normalized Dissimilarity Rate: 0.944463
Total bytes: 490350 (478.9 KB), 1.821 bpb, 1.821 bps w/ no header, Normalized Dissimilarity Rate: 0.910618
Total bytes: 481310 (470.0 KB), 1.788 bpb, 1.787 bps w/ no header, Normalized Dissimilarity Rate: 0.89383
Total bytes: 477745 (466.5 KB), 1.774 bpb, 1.774 bps w/ no header, Normalized Dissimilarity Rate: 0.887209
Total bytes: 471330 (460.3 KB), 1.751 bpb, 1.75 bps w/ no header, Normalized Dissimilarity Rate: 0.875296
Total bytes: 468763 (457.8 KB), 1.741 bpb, 1.741 bps w/ no header, Normalized Dissimilarity Rate: 0.870529
Total bytes: 543068 (530.3 KB), 1.837 bpb, 1.836 bps w/ no header, Normalized Dissimilarity Rate: 0.91828
Total bytes: 539848 (527.2 KB), 1.826 bpb, 1.825 bps w/ no header, Normalized Dissimilarity Rate: 0.912835
Total bytes: 537820 (525.2 KB), 1.819 bpb, 1.819 bps w/ no header, Normalized Dissimilarity Rate: 0.909406
Total bytes: 534353 (521.8 KB), 1.807 bpb, 1.807 bps w/ no header, Normalized Dissimilarity Rate: 0.903543
Total bytes: 532472 (520.0 KB), 1.801 bpb, 1.8 bps w/ no header, Normalized Dissimilarity Rate: 0.900363
Total bytes: 498125 (486.5 KB), 1.844 bpb, 1.844 bps w/ no header, Normalized Dissimilarity Rate: 0.922094
Total bytes: 496269 (484.6 KB), 1.837 bpb, 1.837 bps w/ no header, Normalized Dissimilarity Rate: 0.918659
Total bytes: 492209 (480.7 KB), 1.822 bpb, 1.822 bps w/ no header, Normalized Dissimilarity Rate: 0.911143
Total bytes: 489194 (477.7 KB), 1.811 bpb, 1.811 bps w/ no header, Normalized Dissimilarity Rate: 0.905562
Total bytes: 487937 (476.5 KB), 1.806 bpb, 1.806 bps w/ no header, Normalized Dissimilarity Rate: 0.903235
Total bytes: 925345 (903.7 KB), 1.843 bpb, 1.843 bps w/ no header, Normalized Dissimilarity Rate: 0.921441
Total bytes: 904152 (883.0 KB), 1.801 bpb, 1.801 bps w/ no header, Normalized Dissimilarity Rate: 0.900337
Total bytes: 902128 (881.0 KB), 1.797 bpb, 1.797 bps w/ no header, Normalized Dissimilarity Rate: 0.898322
Total bytes: 893595 (872.7 KB), 1.78 bpb, 1.78 bps w/ no header, Normalized Dissimilarity Rate: 0.889825
